Created On,Topic,Owner,Potential Customer,Status,Status Reason,Est. revenue,Est. close date,Actual Revenue,Actual Close Date,Probability,Rating,Sales Stage,Forecast category,Customer Need,Proposed Solution,Source Campaign,Purchase Process,Purchase Timeframe,Currency,Contact,Price List,Revenue
5/10/2021 0:00,Adatum Corporation | 2-Year Organic Office Coffee Subscription,Eric Boocock,Adatum Corporation,Lost,Canceled,25950,9/3/2021,0,9/3/2021,50,Cold,Close,,SUBSCRIPTION-CM,2-Year Organic Office Coffee Subscription,Coffee Machine Excellence,Individual,Next Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
5/6/2024 15:08,Adatum Corporation | 2-Year Organic Office Coffee Subscription,Julie Strauss,Adatum Corporation,Lost,Canceled,6800,8/11/2024,0,8/11/2024,15,Cold,Close,,SUBSCRIPTION-CM,2-Year Organic Office Coffee Subscription,Perfect Brew Coffee  Webinar,Unknown,Next Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
1/10/2024 7:50,Adatum Corporation | 6-Month Fair Trade Coffee Subscription,Eric Boocock,Adatum Corporation,Lost,Canceled,18550,3/29/2024,0,3/29/2024,45,Cold,Close,Lost,SUBSCRIPTION-CM,6-Month Fair Trade Coffee Subscription,New Product Release,Unknown,This Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
2/9/2023 14:11,Adatum Corporation | 6-Month Fair Trade Coffee Subscription,Alan Ross,Adatum Corporation,Lost,Canceled,10900,5/21/2023,0,5/21/2023,20,Cold,Close,,SUBSCRIPTION-CM,6-Month Fair Trade Coffee Subscription,Loyalty Customer Promotion,Committee,Next Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
3/27/2023 11:11,Adatum Corporation | 6-Month Fair Trade Coffee Subscription,Alan Ross,Adatum Corporation,Lost,Canceled,21400,7/16/2023,0,7/16/2023,10,Cold,Close,,SUBSCRIPTION-CM,6-Month Fair Trade Coffee Subscription,Barista Monthly Digest,Unknown,Next Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
8/29/2021 0:00,Adatum Corporation | 6-Month Fair Trade Coffee Subscription,Per Mikkelsen,Adatum Corporation,Won,Won,25650,10/4/2021,25650,10/4/2021,90,Hot,Close,,SUBSCRIPTION-CM,6-Month Fair Trade Coffee Subscription,,Individual,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
2/22/2025 10:53,Adatum Corporation | 6-Month Fair Trade Coffee Subscription,Alan Ross,Adatum Corporation,Open,In Progress,8150,5/31/2025,0,,5,Cold,Qualify,,SUBSCRIPTION-CM,6-Month Fair Trade Coffee Subscription,Perfect Brew Coffee  Webinar,Unknown,Next Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
3/30/2023 15:44,Adatum Corporation | Accu Scale,Ayushman Jain,Adatum Corporation,Won,Won,550,4/10/2023,550,4/10/2023,60,Warm,Close,,DRINKWARE,Accu Scale,Loyalty Customer Promotion,Committee,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
5/15/2022 10:07,Adatum Corporation | Accu Scale,Ayushman Jain,Adatum Corporation,Lost,Canceled,1000,5/26/2022,0,5/26/2022,40,Cold,Close,,DRINKWARE,Accu Scale,Barista Monthly Digest,Unknown,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
4/23/2021 0:00,Adatum Corporation | Accu Scale,Pooja Bhalla,Adatum Corporation,Won,Won,150,5/3/2021,150,5/3/2021,85,Hot,Close,,DRINKWARE,Accu Scale,,Individual,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
8/22/2021 0:00,Adatum Corporation | Airpot,Lunaura Hassinger,Adatum Corporation,Lost,Canceled,4650,10/26/2021,0,10/26/2021,20,Cold,Close,Lost,COMMERCIAL COFFEE MAKERS,Airpot,Perfect Brew Coffee  Webinar,Unknown,This Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
3/31/2021 0:00,Adatum Corporation | Airpot,Lunaura Hassinger,Adatum Corporation,Won,Won,2700,4/13/2021,2700,4/13/2021,80,Hot,Close,,COMMERCIAL COFFEE MAKERS,Airpot,,Individual,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
8/11/2023 9:54,Adatum Corporation | Airpot,Lunaura Hassinger,Adatum Corporation,Lost,Canceled,7900,11/17/2023,0,11/17/2023,10,Cold,Close,,COMMERCIAL COFFEE MAKERS,Airpot,Global Coffee Expo,Unknown,Next Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
12/27/2023 10:42,Adatum Corporation | Airpot Duo,Eric Boocock,Adatum Corporation,Lost,Canceled,4350,1/10/2024,0,1/10/2024,35,Cold,Close,Lost,COMMERCIAL COFFEE MAKERS,Airpot Duo,Loyalty Customer Promotion,Unknown,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
4/22/2021 0:00,Adatum Corporation | Airpot Duo,Eric Boocock,Adatum Corporation,Won,Won,3900,5/6/2021,3900,5/6/2021,80,Hot,Close,,COMMERCIAL COFFEE MAKERS,Airpot Duo,Coffee Machine Excellence,Individual,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
4/16/2024 9:59,Adatum Corporation | Airpot Duo,Lunaura Hassinger,Adatum Corporation,Won,Won,4500,6/20/2024,4500,6/20/2024,65,Warm,Close,,COMMERCIAL COFFEE MAKERS,Airpot Duo,Coffee Machine Excellence,Individual,This Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
12/30/2024 8:29,Adatum Corporation | Airpot Duo,Pooja Bhalla,Adatum Corporation,Open,In Progress,3350,4/2/2025,0,,100,Hot,Develop,Committed,COMMERCIAL COFFEE MAKERS,Airpot Duo,,Individual,Next Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
3/23/2022 9:25,Adatum Corporation | Airpot Lite,Julie Strauss,Adatum Corporation,Lost,Canceled,4000,6/25/2022,0,6/25/2022,10,Cold,Close,Lost,COMMERCIAL COFFEE MAKERS,Airpot Lite,Perfect Brew Coffee  Webinar,Unknown,Next Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
3/12/2025 9:54,Adatum Corporation | Airpot Lite,Jeff Comstock,Adatum Corporation,Lost,Canceled,3100,3/25/2025,0,3/25/2025,40,Cold,Close,Lost,COMMERCIAL COFFEE MAKERS,Airpot Lite,Intelligent Coffee Machine Showcase,Unknown,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
5/16/2023 7:33,Adatum Corporation | Airpot Lite,Eric Boocock,Adatum Corporation,Lost,Canceled,3350,5/29/2023,0,5/29/2023,30,Cold,Close,,COMMERCIAL COFFEE MAKERS,Airpot Lite,Sustainable Coffee Newsletter,Unknown,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
9/9/2024 11:27,Adatum Corporation | Airpot Lite,Per Mikkelsen,Adatum Corporation,Lost,Out-Sold,2250,9/21/2024,0,9/21/2024,60,Warm,Close,,COMMERCIAL COFFEE MAKERS,Airpot Lite,Loyalty Customer Promotion,Committee,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
12/28/2023 12:37,Adatum Corporation | Airpot XL,Eric Boocock,Adatum Corporation,Won,Won,3300,1/10/2024,3300,1/10/2024,80,Hot,Close,Won,COMMERCIAL COFFEE MAKERS,Airpot XL,,Individual,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
6/26/2024 12:15,Adatum Corporation | Airpot XL,Per Mikkelsen,Adatum Corporation,Won,Won,2600,7/9/2024,2600,7/9/2024,80,Hot,Close,,COMMERCIAL COFFEE MAKERS,Airpot XL,Coffee Machine Excellence,Individual,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
9/5/2024 8:48,Adatum Corporation | Airpot XL,Lunaura Hassinger,Adatum Corporation,Lost,Canceled,1900,11/6/2024,0,11/6/2024,25,Cold,Close,,COMMERCIAL COFFEE MAKERS,Airpot XL,Intelligent Coffee Machine Showcase,Unknown,This Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
11/16/2022 9:00,Adatum Corporation | AutoDrip,Julie Strauss,Adatum Corporation,Lost,Canceled,3200,2/17/2023,0,2/17/2023,20,Cold,Close,,CONSUMER COFFEE MAKERS,AutoDrip,Loyalty Customer Promotion,Committee,Next Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
6/28/2021 0:00,Adatum Corporation | AutoDrip,Jim Nakashima,Adatum Corporation,Won,Won,1100,7/9/2021,1100,7/9/2021,90,Hot,Close,,CONSUMER COFFEE MAKERS,AutoDrip,,Individual,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
4/11/2024 10:27,Adatum Corporation | Barista Express,Pooja Bhalla,Adatum Corporation,Won,Won,48450,7/28/2024,48450,7/28/2024,65,Warm,Close,,COMMERCIAL ESPRESSO,Barista Express,,Individual,This Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
1/19/2023 17:33,Adatum Corporation | Barista Express,Pooja Bhalla,Adatum Corporation,Won,Won,147700,8/15/2023,147700,8/15/2023,65,Warm,Close,,COMMERCIAL ESPRESSO,Barista Express,,Individual,This Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
3/10/2023 7:36,Adatum Corporation | Barista Lite,Julie Strauss,Adatum Corporation,Lost,Canceled,17650,6/26/2023,0,6/26/2023,10,Cold,Close,,CONSUMER ESPRESSO,Barista Lite,Loyalty Customer Promotion,Unknown,Next Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
5/30/2024 12:37,Adatum Corporation | Brew Filters,Julie Strauss,Adatum Corporation,Won,Won,400,6/9/2024,400,6/9/2024,60,Warm,Close,,DRINKWARE,Brew Filters,Loyalty Customer Promotion,Committee,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
8/14/2022 9:57,Adatum Corporation | Café A-100 Automatic,Pooja Bhalla,Adatum Corporation,Won,Won,130500,2/21/2023,130500,2/21/2023,65,Warm,Close,,COMMERCIAL ESPRESSO,Café A-100 Automatic,,Individual,This Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
9/15/2022 15:16,Adatum Corporation | Café A-100 Automatic,Julie Strauss,Adatum Corporation,Lost,Out-Sold,246850,5/30/2023,0,5/30/2023,55,Warm,Close,,COMMERCIAL ESPRESSO,Café A-100 Automatic,New Product Release,Unknown,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
6/23/2021 0:00,Adatum Corporation | Café A-100 Automatic,Jeff Comstock,Adatum Corporation,Won,Won,274950,4/4/2022,274950,4/4/2022,80,Hot,Close,,COMMERCIAL ESPRESSO,Café A-100 Automatic,,Individual,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
12/14/2024 16:27,Adatum Corporation | Café A-100 Automatic,Ayushman Jain,Adatum Corporation,Open,In Progress,185350,6/27/2025,0,,20,Cold,Qualify,,COMMERCIAL ESPRESSO,Café A-100 Automatic,,Individual,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
10/29/2023 8:39,Adatum Corporation | Café A-200 Automatic,Pooja Bhalla,Adatum Corporation,Won,Won,159150,6/4/2024,159150,6/4/2024,65,Warm,Close,Won,COMMERCIAL ESPRESSO,Café A-200 Automatic,,Individual,This Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
9/29/2022 16:01,Adatum Corporation | Café A-200 Automatic,Per Mikkelsen,Adatum Corporation,Lost,Canceled,287350,7/23/2023,0,7/23/2023,40,Cold,Close,,COMMERCIAL ESPRESSO,Café A-200 Automatic,Loyalty Customer Promotion,Unknown,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
8/17/2023 12:57,Adatum Corporation | Café A-200 Automatic,Eric Boocock,Adatum Corporation,Won,Won,70650,11/6/2023,70650,11/6/2023,85,Hot,Close,,COMMERCIAL ESPRESSO,Café A-200 Automatic,Coffee Machine Excellence,Individual,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
5/26/2023 12:41,Adatum Corporation | Café A-200 Automatic,Pooja Bhalla,Adatum Corporation,Won,Won,303300,5/23/2024,303300,5/23/2024,65,Warm,Close,,COMMERCIAL ESPRESSO,Café A-200 Automatic,,Individual,This Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
6/25/2022 7:12,Adatum Corporation | Café A-200 Automatic,Jim Nakashima,Adatum Corporation,Lost,Canceled,100700,1/2/2023,0,1/2/2023,30,Cold,Close,,COMMERCIAL ESPRESSO,Café A-200 Automatic,,Individual,Next Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
4/30/2023 8:21,Adatum Corporation | Café A-200 Automatic,Julie Strauss,Adatum Corporation,Lost,Canceled,199800,2/14/2024,0,2/14/2024,10,Cold,Close,,COMMERCIAL ESPRESSO,Café A-200 Automatic,Perfect Brew Coffee  Webinar,Unknown,Next Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
3/29/2025 10:45,Adatum Corporation | Café A-200 Automatic,Eric Boocock,Adatum Corporation,Open,In Progress,89950,7/7/2025,0,,5,Cold,Qualify,,COMMERCIAL ESPRESSO,Café A-200 Automatic,Global Coffee Expo,Unknown,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
12/19/2024 15:44,Adatum Corporation | Café A-200 Automatic,Pooja Bhalla,Adatum Corporation,Open,In Progress,304350,10/29/2025,0,,0,Cold,Qualify,,COMMERCIAL ESPRESSO,Café A-200 Automatic,New Product Release,Unknown,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
8/15/2023 7:20,Adatum Corporation | Café BG-1,Lunaura Hassinger,Adatum Corporation,Won,Won,6750,10/21/2023,6750,10/21/2023,65,Warm,Close,Won,COMMERCIAL COFFEE GRINDERS,Café BG-1,Loyalty Customer Promotion,Committee,This Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
3/9/2025 8:48,Adatum Corporation | Café BG-1,Eric Boocock,Adatum Corporation,Open,In Progress,64000,7/11/2025,0,,5,Cold,Propose,,COMMERCIAL COFFEE GRINDERS,Café BG-1,Loyalty Customer Promotion,Committee,This Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
5/8/2022 12:16,Adatum Corporation | Café BG-1 Pro,Eric Boocock,Adatum Corporation,Lost,Canceled,94600,8/21/2022,0,8/21/2022,45,Cold,Close,,COMMERCIAL COFFEE GRINDERS,Café BG-1 Pro,New Product Release,Unknown,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
5/5/2023 16:51,Adatum Corporation | Café BG-1 Pro,Lunaura Hassinger,Adatum Corporation,Lost,Canceled,167050,1/17/2024,0,1/17/2024,15,Cold,Close,,COMMERCIAL COFFEE GRINDERS,Café BG-1 Pro,Loyalty Customer Promotion,Committee,Next Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
3/26/2025 12:54,Adatum Corporation | Café BG-1 Pro,Alan Ross,Adatum Corporation,Open,In Progress,167750,12/9/2025,0,,0,Cold,Qualify,,COMMERCIAL COFFEE GRINDERS,Café BG-1 Pro,Perfect Brew Coffee  Webinar,Unknown,Next Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
2/16/2024 13:48,Adatum Corporation | Café Corto,Alan Ross,Adatum Corporation,Lost,Canceled,81300,8/5/2024,0,8/5/2024,35,Cold,Close,,COMMERCIAL ESPRESSO,Café Corto,Coffee Machine Excellence,Individual,Next Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
8/12/2023 14:09,Adatum Corporation | Café Corto,Jeff Comstock,Adatum Corporation,Lost,Canceled,103950,12/4/2023,0,12/4/2023,40,Cold,Close,,COMMERCIAL ESPRESSO,Café Corto,Perfect Brew Coffee  Webinar,Unknown,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
9/23/2021 0:00,Adatum Corporation | Café Corto,Julie Strauss,Adatum Corporation,Won,Won,33450,12/25/2021,33450,12/25/2021,65,Warm,Close,,COMMERCIAL ESPRESSO,Café Corto,Coffee Machine Excellence,Individual,This Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
7/22/2024 13:53,Adatum Corporation | Café Corto,Alan Ross,Adatum Corporation,Lost,Canceled,82550,10/23/2024,0,10/23/2024,35,Cold,Close,,COMMERCIAL ESPRESSO,Café Corto,Coffee Innovation Webinar,Unknown,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
9/28/2024 14:34,Adatum Corporation | Café Grande,Per Mikkelsen,Adatum Corporation,Won,Won,106650,3/14/2025,106650,3/14/2025,75,Warm,Close,,COMMERCIAL ESPRESSO,Café Grande,Coffee Machine Excellence,Individual,This Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
4/4/2023 17:19,Adatum Corporation | Café Grande,Pooja Bhalla,Adatum Corporation,Lost,Canceled,337450,5/5/2024,0,5/5/2024,25,Cold,Close,,COMMERCIAL ESPRESSO,Café Grande,Perfect Brew Coffee  Webinar,Unknown,This Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
10/8/2021 0:00,Adatum Corporation | Café Grande,Per Mikkelsen,Adatum Corporation,Lost,Canceled,56700,2/2/2022,0,2/2/2022,25,Cold,Close,,COMMERCIAL ESPRESSO,Café Grande,Barista Monthly Digest,Unknown,This Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
3/2/2024 17:34,Adatum Corporation | Café Grande,Per Mikkelsen,Adatum Corporation,Won,Won,285450,2/10/2025,285450,2/10/2025,70,Warm,Close,,COMMERCIAL ESPRESSO,Café Grande,,Individual,This Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
7/16/2021 0:00,Adatum Corporation | Café PG-1,Alan Ross,Adatum Corporation,Lost,Out-Sold,50400,9/14/2021,0,9/14/2021,55,Warm,Close,Lost,COMMERCIAL COFFEE GRINDERS,Café PG-1,Loyalty Customer Promotion,Committee,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
1/20/2024 8:38,Adatum Corporation | Café PG-1,Eric Boocock,Adatum Corporation,Lost,Canceled,13200,4/2/2024,0,4/2/2024,20,Cold,Close,Lost,COMMERCIAL COFFEE GRINDERS,Café PG-1,Customer Care Campaign,Unknown,This Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
1/26/2023 15:08,Adatum Corporation | Café PG-1,Alan Ross,Adatum Corporation,Lost,Canceled,45700,6/11/2023,0,6/11/2023,15,Cold,Close,,COMMERCIAL COFFEE GRINDERS,Café PG-1,Loyalty Customer Promotion,Committee,Next Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
8/26/2023 16:47,Adatum Corporation | Café PG-1,Julie Strauss,Adatum Corporation,Lost,Canceled,63950,11/8/2023,0,11/8/2023,45,Cold,Close,,COMMERCIAL COFFEE GRINDERS,Café PG-1,New Product Release,Unknown,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
4/27/2021 0:00,Adatum Corporation | Café PG-1,Eric Boocock,Adatum Corporation,Won,Won,7700,5/15/2021,7700,5/15/2021,75,Warm,Close,,COMMERCIAL COFFEE GRINDERS,Café PG-1,,Individual,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
12/15/2024 12:18,Adatum Corporation | Café PG-1,Ayushman Jain,Adatum Corporation,Won,Won,36500,1/31/2025,36500,1/31/2025,80,Hot,Close,,COMMERCIAL COFFEE GRINDERS,Café PG-1,Coffee Machine Excellence,Individual,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
8/27/2024 16:42,Adatum Corporation | Café PG-1,Julie Strauss,Adatum Corporation,Lost,Canceled,63550,11/9/2024,0,11/9/2024,30,Cold,Close,,COMMERCIAL COFFEE GRINDERS,Café PG-1,Coffee Trade Fair,Unknown,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
4/21/2023 8:03,Adatum Corporation | Café PG-1 Pro,Jim Nakashima,Adatum Corporation,Lost,Canceled,37450,8/26/2023,0,8/26/2023,25,Cold,Close,Lost,COMMERCIAL COFFEE GRINDERS,Café PG-1 Pro,,Individual,Next Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
9/5/2024 14:18,Adatum Corporation | Café PG-1 Pro,Ayushman Jain,Adatum Corporation,Won,Won,33400,10/18/2024,33400,10/18/2024,75,Warm,Close,,COMMERCIAL COFFEE GRINDERS,Café PG-1 Pro,,Individual,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
3/24/2024 14:54,Adatum Corporation | Café S-100 Semi-Automatic,Jim Nakashima,Adatum Corporation,Lost,Canceled,283050,1/11/2025,0,1/11/2025,40,Cold,Close,Lost,COMMERCIAL ESPRESSO,Café S-100 Semi-Automatic,Sustainable Coffee Newsletter,Unknown,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
6/30/2024 9:40,Adatum Corporation | Café S-100 Semi-Automatic,Eric Boocock,Adatum Corporation,Lost,Canceled,59700,11/27/2024,0,11/27/2024,35,Cold,Close,,COMMERCIAL ESPRESSO,Café S-100 Semi-Automatic,,Individual,Next Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
12/27/2023 7:02,Adatum Corporation | Café S-100 Semi-Automatic,Eric Boocock,Adatum Corporation,Lost,Canceled,180300,7/4/2024,0,7/4/2024,45,Cold,Close,,COMMERCIAL ESPRESSO,Café S-100 Semi-Automatic,Loyalty Customer Promotion,Unknown,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
9/27/2021 0:00,Adatum Corporation | Café S-100 Semi-Automatic,Per Mikkelsen,Adatum Corporation,Won,Won,423150,1/23/2023,423150,1/23/2023,70,Warm,Close,,COMMERCIAL ESPRESSO,Café S-100 Semi-Automatic,,Individual,This Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
3/24/2024 11:19,Adatum Corporation | Café S-100 Semi-Automatic,Julie Strauss,Adatum Corporation,Open,In Progress,369900,4/8/2025,0,,100,Hot,Propose,,COMMERCIAL ESPRESSO,Café S-100 Semi-Automatic,Loyalty Customer Promotion,Unknown,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
11/14/2024 13:41,Adatum Corporation | Café S-100 Semi-Automatic,Alan Ross,Adatum Corporation,Open,In Progress,383050,12/12/2025,0,,0,Cold,Qualify,,COMMERCIAL ESPRESSO,Café S-100 Semi-Automatic,Loyalty Customer Promotion,Unknown,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
9/18/2022 14:31,Adatum Corporation | Café S-200 Semi-Automatic,Julie Strauss,Adatum Corporation,Lost,Canceled,339100,10/22/2023,0,10/22/2023,45,Cold,Close,Lost,COMMERCIAL ESPRESSO,Café S-200 Semi-Automatic,Loyalty Customer Promotion,Committee,This Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
1/4/2025 15:59,Adatum Corporation | Café S-200 Semi-Automatic,Pooja Bhalla,Adatum Corporation,Open,In Progress,238500,10/30/2025,0,,0,Cold,Qualify,,COMMERCIAL ESPRESSO,Café S-200 Semi-Automatic,Coffee Machine Excellence,Individual,This Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
1/19/2024 16:53,Adatum Corporation | Capacity IoT sensor,Alan Ross,Adatum Corporation,Lost,Canceled,1850,1/31/2024,0,1/31/2024,35,Cold,Close,,SERVICES,Capacity IoT sensor,Coffee Innovation Webinar,Unknown,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
10/26/2022 14:58,Adatum Corporation | Capacity IoT sensor,Jim Nakashima,Adatum Corporation,Won,Won,1600,11/7/2022,1600,11/7/2022,80,Hot,Close,,SERVICES,Capacity IoT sensor,,Individual,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
